feature,coefficient,abs_coefficient,importance_rank
ЗП,0.04705213747191544,0.04705213747191544,1
Занятость,0.02531565685436588,0.02531565685436588,2
Пол_Не указано,0.018010959885108802,0.018010959885108802,3
ЗП_рубли,0.011514322594826862,0.011514322594826862,4
Столица,0.010659154958933263,0.010659154958933263,5
Высшее_образование,0.006572111386884973,0.006572111386884973,6
Пол_Мужчина,0.0060642150599133325,0.0060642150599133325,7
Должность_инженер,0.0049383323492185605,0.0049383323492185605,8
Есть_авто,0.003348559890093721,0.003348559890093721,9
Город_очищенный,-0.00279578755005393,0.00279578755005393,10
Должность_аналитик,0.002189337837545879,0.002189337837545879,11
Возрастная_группа_25-34,0.002149406861121331,0.002149406861121331,12
Возраст,-0.0014478972665027817,0.0014478972665027817,13
Должность_руководитель,0.0013178840189311163,0.0013178840189311163,14
Длина_названия_должности,-6.137576623214291e-05,6.137576623214291e-05,15
